CELL_ID,Total_Usage
1,8294.939
2,8339.6635
3,8387.252999999999
4,8165.4455
5,7458.481000000001
6,8387.252999999999
7,8387.252999999999
8,8387.252999999999
9,8387.252999999999
10,5217.987
11,2857.4089999999997
12,2051.206
13,1239.9610000000002
14,1956.7549999999999
15,2037.2635000000005
16,2392.9035
17,2805.7059999999997
18,2806.7905000000005
19,2805.25
20,2804.5865000000003
21,2803.6710000000007
22,2801.2755000000006
23,2974.5045
24,4227.273499999999
25,4263.022
26,4263.022
27,4524.038999999999
28,5001.3330000000005
29,5468.92
30,5659.861500000002
31,5699.242
32,6490.574500000001
33,7294.521499999999
34,6047.369500000001
35,5540.6795
36,5540.6795
37,5540.6795
38,5540.6795
39,6020.972999999999
40,5941.0295
41,6778.195500000002
42,7675.3105
43,6392.732499999998
44,4481.235999999999
45,4481.235999999999
46,4481.235999999999
47,68371.1535
48,110142.59850000002
49,38876.311
50,11385.819999999998
51,9188.236500000003
52,9542.3635
53,9191.4015
54,9909.140500000001
55,9929.891000000001
56,9933.338999999998
57,8689.657000000001
58,8901.503499999999
59,8563.7025
60,7720.152
61,4255.5865
62,4255.5865
63,4418.088
64,7042.826000000001
65,10100.194500000001
66,10100.7915
67,10676.229000000001
68,14104.775500000003
69,11817.905
70,8933.2145
71,8531.2325
72,9411.713999999998
73,10581.686000000002
74,10626.58
75,10631.365000000002
76,10631.365000000002
77,10631.365000000002
78,10631.365000000002
79,10631.365000000002
80,8893.868
81,5105.127
82,2357.2035
83,2239.4204999999997
84,2239.4204999999997
85,2239.4204999999997
86,2244.7975000000006
87,2580.613500000001
88,2767.8574999999996
89,2767.8574999999996
90,2767.8574999999996
91,3533.144500000001
92,4611.302500000001
93,7608.5525
94,14237.871999999998
95,14237.871999999998
96,14237.871999999998
97,14237.871999999998
98,14242.7825
99,14237.871999999998
100,14236.453999999996
101,8321.503499999999
102,7501.465500000001
103,8387.252999999999
104,8387.252999999999
105,8387.252999999999
106,8387.252999999999
107,8387.252999999999
108,8387.252999999999
109,8387.252999999999
110,5195.128000000001
111,3213.1484999999993
112,337.347
