CELL_ID,Total_Usage
1,8708.1725
10,5520.7985
100,15361.699
1000,16797.016999999996
10000,17731.618
1001,3050.4260000000004
1002,3047.946
1003,2982.7239999999997
1004,3247.8289999999997
1005,2777.832
1006,2780.3439999999996
1007,2278.525
1008,7069.030000000001
1009,3454.5769999999993
101,8758.740000000002
1010,3603.444
1011,3676.9790000000003
1012,3875.6350000000007
1013,3788.917999999999
1014,3539.1479999999992
1015,3500.449
1016,2963.758
1017,2892.6259999999993
1018,3253.5570000000002
1019,3570.7865
102,7986.036999999998
1020,3783.0435
1021,4132.523499999999
1022,3947.2795
1023,3467.1585
1024,22569.733500000002
1025,2969.6410000000005
1026,2969.6410000000005
1027,3234.4944999999993
1028,3789.9105000000004
1029,4336.723
103,8820.797000000002
1030,3783.9929999999995
1031,5247.509499999999
1032,5431.717999999999
1033,7620.953999999999
1034,15363.4195
1035,16369.583500000002
1036,16369.583500000002
1037,16369.583500000002
1038,16364.4475
1039,16357.856500000004
104,8820.797000000002
1040,19190.264500000005
1041,20406.371499999997
1042,20406.371499999997
1043,20099.944
1044,18988.347
1045,25846.741000000005
1046,36482.56050000001
1047,45353.359000000004
1048,38631.28
1049,38646.3705
105,8820.797000000002
1050,55869.637
1051,139436.45200000002
1052,130332.84449999999
1053,102056.13000000002
1054,59395.5915
1055,52343.23050000001
1056,45373.116
1057,36744.8125
1058,37723.182
1059,20059.263
106,8820.797000000002
1060,13843.150000000003
1061,15032.054
1062,15381.389500000001
1063,31515.637
1064,45365.121
1065,39194.763500000015
1066,42285.397999999994
1067,35563.735499999995
1068,31495.184
1069,32432.534000000003
107,8820.797000000002
1070,40629.2135
1071,39372.651000000005
1072,10941.26
1073,9621.213500000002
1074,9840.518
1075,32928.414000000004
1076,11562.822
1077,7621.917
1078,8734.481
1079,9038.426999999998
108,8820.797000000002
1080,9046.873999999998
1081,9046.944
1082,9076.3025
1083,9477.6475
1084,8794.905499999999
1085,3743.546000000001
1086,3639.1530000000002
1087,3638.1399999999994
1088,3638.1399999999994
1089,3642.5784999999996
109,8820.797000000002
1090,3293.0429999999997
1091,2843.5130000000004
1092,4744.133499999999
1093,2325.062500000001
1094,2318.8975
1095,2325.062500000001
1096,7935.546000000001
1097,16918.087499999998
1098,17495.128999999997
1099,16466.2475
11,3015.9584999999997
110,5496.989
1100,17499.460499999997
1101,3070.8619999999996
1102,3234.9985
1103,3076.3725
1104,3358.0795
1105,3279.1945
1106,2118.7110000000002
1107,1182.285
1108,3529.6764999999996
1109,3993.5870000000004
111,3416.0679999999998
1110,4064.9950000000003
1111,4078.5345
1112,4139.5335000000005
1113,4147.262000000001
1114,3990.8104999999996
1115,3588.5750000000003
1116,3501.4680000000008
1117,3332.4210000000003
1118,3089.6695
1119,3570.7865
112,358.594
1120,3573.2125
1121,3308.093
1122,2926.734
1123,2926.734
1124,2926.8895000000007
1125,2935.5229999999997
1126,2947.259
1127,3019.1080000000006
1128,3141.3340000000003
1129,2231.788
113,1262.6945
