Cell_ID,SMSIN,SMSOUT,CALLIN,CALLOUT,INTERNET,Total Usage
10000,3196.3025000000007,1665.997500000001,1990.5405,2124.684499999999,50806.72699999993,59784.252
10000,3245.2729999999992,1688.4994999999992,2020.138999999999,2158.8969999999995,51033.119999999966,60145.9285
10000,3297.39,1712.4425000000008,2051.6270000000004,2195.2849999999994,51274.092500000006,60530.83699999999
10000,3054.5020000000004,1600.8569999999995,1904.8764999999994,2025.7064999999996,50151.03549999998,58736.97750000001
10000,2847.9195000000004,1491.3675000000005,1782.3210000000001,1897.5835000000006,45777.65200000001,53796.8435
10000,3297.39,1712.4425000000008,2051.6270000000004,2195.2849999999994,51274.092500000006,60530.83699999999
10000,3297.39,1712.4425000000008,2051.6270000000004,2195.2849999999994,51274.092500000006,60530.83699999999
10000,3297.39,1712.4425000000008,2051.6270000000004,2195.2849999999994,51274.092500000006,60530.83699999999
10000,3297.39,1712.4425000000008,2051.6270000000004,2195.2849999999994,51274.092500000006,60530.83699999999
10000,2493.0815000000002,1274.4370000000001,1576.2970000000003,1709.391500000001,31498.368000000017,38551.574999999975
10000,1537.4895000000001,776.9164999999998,1001.0195000000003,1083.7754999999995,17349.217999999993,21748.419
10000,989.6535,544.9630000000001,639.0305000000003,688.579,12679.223499999991,15541.449499999999
10000,494.09849999999994,259.47550000000007,333.4390000000001,346.4735,7777.221500000001,9210.707999999997
10000,706.3684999999998,367.1489999999999,487.4539999999997,497.9479999999999,12648.7265,14707.645999999993
10000,717.4639999999997,369.6175000000001,498.35099999999994,505.5189999999998,13227.758999999993,15318.7105
10000,860.3574999999998,605.0045000000003,571.9794999999999,636.5404999999998,15295.612999999998,17969.495000000003
10000,1004.9715,824.6619999999998,641.9619999999998,871.7339999999998,17671.72850000001,21015.058000000005
10000,1005.0210000000001,824.6634999999999,641.9719999999996,885.4660000000003,17671.74,21028.862500000003
10000,1009.4610000000002,824.7464999999999,642.7229999999997,854.6649999999997,17672.810500000003,21004.406000000006
10000,1011.3749999999999,824.7824999999998,643.0454999999995,841.395,17673.271500000003,20993.869499999993
10000,1017.5095000000002,825.1989999999997,645.9560000000001,808.248,17676.2975,20973.210000000003
10000,1028.3645,825.7414999999999,649.9049999999995,743.5550000000001,17680.665999999997,20928.23199999999
10000,1105.9565000000005,995.2979999999998,703.4885000000004,793.3680000000004,18808.214500000006,22406.325499999984
10000,1667.0140000000006,2221.4955,1091.1325,1153.6380000000004,26962.34000000001,33095.61999999999
10000,1683.0310000000006,2256.4904999999994,1102.218,1163.934,27194.990000000005,33400.663499999995
10000,1683.0310000000006,2256.4904999999994,1102.218,1163.934,27194.990000000005,33400.663499999995
10000,1720.5649999999998,2193.9475,1128.0595000000005,1191.8000000000004,29032.779000000002,35267.151
10000,1723.2274999999997,1925.0540000000005,1134.8975000000003,1198.8415,32428.53599999999,38410.55649999999
10000,1551.2405000000006,1252.4025000000001,1034.7440000000001,1089.6755000000005,35847.94700000002,40776.00949999999
10000,1445.9664999999993,895.6014999999998,972.4029999999995,1021.8039999999999,37262.882000000005,41598.65699999999
10000,1424.2330000000004,821.9765000000002,959.5185,1007.7839999999997,37554.78049999999,41768.29250000001
10000,1775.2985000000003,933.7179999999998,1276.8164999999997,1343.1285,41851.41599999998,47180.37750000002
10000,2307.2650000000003,1091.3119999999997,1754.4599999999998,1860.5974999999996,46545.01900000002,53558.65350000001
10000,2336.881500000001,1150.3349999999998,1766.9389999999996,1895.0199999999998,43637.614,50786.789499999984
10000,2005.9775000000004,1018.1620000000003,1463.9860000000006,1577.915,38685.40199999997,44751.442499999976
10000,2005.9775000000004,1018.1620000000003,1463.9860000000006,1577.915,38685.40199999997,44751.442499999976
10000,2005.9775000000004,1018.1620000000003,1463.9860000000006,1577.915,38685.40199999997,44751.442499999976
10000,2005.9775000000004,1018.1620000000003,1463.9860000000006,1577.915,38685.40199999997,44751.442499999976
10000,2583.1459999999984,1335.1354999999999,2013.1765000000003,2008.3035000000004,41843.523000000016,49783.28449999999
10000,2559.187500000001,1316.9095000000002,1994.4994999999994,2001.8249999999998,41352.159499999994,49224.581000000006
10000,4268.000500000002,2102.0895000000005,3583.1135,3358.573499999998,51791.89349999999,65103.6705
